LeftAIFileName	RightAIFileName	Count	HoldMinDiff	ThinkDelayFrame TSpinMinDiff MoveDelayFrame		
AI\TEST_BEGINNER.LUA	AI\TEST_BEGINNER.LUA	100	50	80	0	25
AI\TEST_BEGINNER.LUA	AI\TEST_BEGINNER.LUA	100	50	78	0	23
AI\TEST_BEGINNER.LUA	AI\TEST_BEGINNER.LUA	100	45	75	0	21
AI\TEST_BEGINNER.LUA	AI\TEST_BEGINNER.LUA	100	40	75	0	16
AI\TEST_BEGINNER.LUA	AI\TEST_BEGINNER.LUA	100	40	70	0	13
AI\TEST_BEGINNER.LUA	AI\TEST_BEGINNER.LUA	100	35	70	0	10
AI\TEST_TETRIS_BEGINNER.LUA	AI\TEST_TETRIS_BEGINNER.LUA	100	30	70	0	25
AI\TEST_TETRIS_BEGINNER.LUA	AI\TEST_TETRIS_BEGINNER.LUA	100	30	65	0	24
AI\TEST_TETRIS_BEGINNER.LUA	AI\TEST_TETRIS_BEGINNER.LUA	100	25	60	0	23
AI\TEST_TETRIS_BEGINNER.LUA	AI\TEST_TETRIS_BEGINNER.LUA	100	20	60	0	22
AI\TEST_TETRIS_BEGINNER.LUA	AI\TEST_TETRIS_BEGINNER.LUA	100	18	58	0	21
AI\TEST_TETRIS_BEGINNER.LUA	AI\TEST_TETRIS_BEGINNER.LUA	100	15	55	0	20
AI\TEST_TETRIS.LUA	AI\TEST_TETRIS.LUA	100	30	70	0	25
AI\TEST_COMBO.LUA	AI\TEST_COMBO.LUA	100	40	70	0	25
AI\TEST_TETRIS.LUA	AI\TEST_TETRIS.LUA	100	40	60	0	20
AI\TEST_TSPIN.LUA	AI\TEST_TSPIN.LUA	100	500	30	1000	10
AI\TEST_COMBO.LUA	AI\TEST_COMBO.LUA	100	20	50	0	20
AI\TEST_TETRIS.LUA	AI\TEST_TETRIS.LUA	100	10	40	0	15
AI\TEST_TSPIN.LUA	AI\TEST_TSPIN.LUA	100	500	20	1000	8
AI\TEST_COMBO.LUA	AI\TEST_COMBO.LUA	100	15	40	0	12
AI\TEST_TETRIS.LUA	AI\TEST_TETRIS.LUA	100	10	30	0	10
AI\TEST_TSPIN.LUA	AI\TEST_TSPIN.LUA	100	500	10	1000	6
AI\TEST_COMBO.LUA	AI\TEST_COMBO.LUA	100	10	25	0	10
AI\TEST_TETRIS.LUA	AI\TEST_TETRIS.LUA	100	5	15	0	8
AI\TEST_TSPIN.LUA	AI\TEST_TSPIN.LUA	100	500	7	1000	4
AI\TEST_COMBO.LUA	AI\TEST_COMBO.LUA	100	5	15	0	8
AI\TEST_TETRIS.LUA	AI\TEST_TETRIS.LUA	100	2	10	0	6
AI\TEST_TSPIN.LUA	AI\TEST_TSPIN.LUA	100	500	5	1000	3
AI\TEST_COMBO.LUA	AI\TEST_COMBO.LUA	100	3	9	0	7
AI\TEST_TETRIS.LUA	AI\TEST_TETRIS.LUA	100	1	7	0	5
AI\TEST_TETRIS.LUA	AI\TEST_TETRIS.LUA	100	1	6	0	4
AI\TEST_COMBO.LUA	AI\TEST_COMBO.LUA	100	2	7	0	6
AI\TEST_TSPIN.LUA	AI\TEST_TSPIN.LUA	100	500	4	1000	2
AI\TEST_TSPIN.LUA	AI\TEST_TSPIN.LUA	100	500	3	1000	1
AI\TEST_COMBO.LUA	AI\TEST_COMBO.LUA	100	1	5	0	5
AI\TEST_TETRIS.LUA	AI\TEST_TETRIS.LUA	100	1	5	0	3
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	5	0	5
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	10	0	10
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	15	0	15
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	20	0	20
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	25	0	25
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	30	0	30
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	0	0	5
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	0	0	10
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	0	0	15
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	0	0	20
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	0	0	25
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	0	0	30
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	5	0	0
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	10	0	0
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	15	0	0
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	20	0	0
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	25	0	0
AI\TEST_TETRIS.LUA	AI\TEST_COMBO.LUA	30	0	30	0	0
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	0	0	0
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	5	0	5
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	10	0	10
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	15	0	15
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	20	0	20
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	25	0	25
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	30	0	30
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	0	0	5
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	0	0	10
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	0	0	15
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	0	0	20
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	0	0	25
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	0	0	30
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	5	0	0
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	10	0	0
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	15	0	0
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	20	0	0
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	25	0	0
AI\TEST_COMBO.LUA	AI\TEST_TSPIN.LUA	30	0	30	0	0
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	0	0	0
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	5	0	5
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	10	0	10
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	15	0	15
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	20	0	20
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	25	0	25
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	30	0	30
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	0	0	5
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	0	0	10
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	0	0	15
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	0	0	20
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	0	0	25
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	0	0	30
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	5	0	0
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	10	0	0
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	15	0	0
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	20	0	0
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	25	0	0
AI\TEST_TSPIN.LUA	AI\TEST_TETRIS.LUA	30	0	30	0	0
AI\TEST_TETRIS.LUA	AI\TEST\TEST_TETRIS1.LUA	30	100	80	0	30
AI\TEST_TETRIS.LUA	AI\TEST\TEST_TETRIS2.LUA	30	50	70	0	25
AI\TEST_COMBO.LUA	AI\TEST\TEST_TETRIS3.LUA	30	30	60	0	20
AI\TEST_TETRIS.LUA	AI\TEST\TEST_TETRIS3.LUA	30	30	60	0	20
AI\TEST_COMBO.LUA	AI\TEST\TEST_TETRIS4.LUA	30	20	50	0	15
AI\TEST_TETRIS.LUA	AI\TEST\TEST_TETRIS4.LUA	30	20	50	0	15
AI\TEST_COMBO.LUA	AI\TEST\TEST_TETRIS4.LUA	30	40	40	0	12
AI\TEST_TETRIS.LUA	AI\TEST\TEST_TETRIS5.LUA	30	15	40	0	12
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS5.LUA	30	500	40	1000	12
AI\TEST_COMBO.LUA	AI\TEST\TEST_TETRIS5.LUA	30	10	30	0	9
AI\TEST_TETRIS.LUA	AI\TEST\TEST_TETRIS5.LUA	30	10	30	0	9
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS5.LUA	30	500	30	1000	9
AI\TEST_COMBO.LUA	AI\TEST\TEST_TETRIS6.LUA	30	0	20	0	6
AI\TEST_TETRIS.LUA	AI\TEST\TEST_TETRIS6.LUA	30	0	20	0	6
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS6.LUA	30	500	20	1000	6
AI\TEST_COMBO.LUA	AI\TEST\TEST_TETRIS7.LUA	30	0	10	0	4
AI\TEST_TETRIS.LUA	AI\TEST\TEST_TETRIS7.LUA	30	0	10	0	4
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	10	1000	4
AI\TEST_COMBO.LUA	AI\TEST\TEST_TETRIS8.LUA	30	0	5	0	2
AI\TEST_TETRIS.LUA	AI\TEST\TEST_TETRIS8.LUA	30	0	5	0	2
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS8.LUA	30	500	5	1000	2
AI\TEST_COMBO.LUA	AI\TEST\TEST_TETRIS9.LUA	30	0	0	0	0
AI\TEST_TETRIS.LUA	AI\TEST\TEST_TETRIS9.LUA	30	0	0	0	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	0	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	200	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	250	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	300	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	350	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	400	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	420	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	440	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	460	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	480	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	520	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	540	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	560	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	580	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	600	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	650	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	700	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	750	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	800	0	1000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	5000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	4000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	3000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	2000	0
AI\TEST_TSPIN.LUA	AI\TEST\TEST_TETRIS7.LUA	30	500	0	1500	0
