Set	Category	Type	Id	Name	Path	PreviewFileName	Comment
0	0	1	1	標準設定	Default	ui/deco_preview/mino_default.png	
0	7	1	2	ビート	mino_01	ui/deco_preview/mino_01.png	
0	7	1	3	スター	mino_02	ui/deco_preview/mino_02.png	
0	7	1	4	トイ	mino_03	ui/deco_preview/mino_03.png	
0	1	1	5	ハート	mino_04	ui/deco_preview/mino_04.png	
0	7	1	6	ブロック	mino_05	ui/deco_preview/mino_05.png	
0	7	1	7	ピラミッド	mino_06	ui/deco_preview/mino_06.png	
0	7	1	8	クリスタル	mino_07	ui/deco_preview/mino_07.png	
0	11	1	9	クラシック1	mino_08	ui/deco_preview/mino_08.png	
0	11	1	10	クラシック2	mino_09	ui/deco_preview/mino_09.png	
0	11	1	11	クラシック3	mino_10	ui/deco_preview/mino_10.png	
0	1	1	12	フェイス	mino_11	ui/deco_preview/mino_11.png	
0	7	1	13	ネオン	mino_12	ui/deco_preview/mino_12.png	
0	7	1	14	セラミック	mino_13	ui/deco_preview/mino_13.png	
0	1	1	15	ロゼンジ	mino_14	ui/deco_preview/mino_14.png	
0	1	1	16	グロッシー	mino_15	ui/deco_preview/mino_15.png	
0	7	1	17	ツートーン	mino_16	ui/deco_preview/mino_16.png	
0	11	1	18	タイル	mino_17	ui/deco_preview/mino_17.png	
0	7	1	19	スクエア	mino_18	ui/deco_preview/mino_18.png	
0	11	1	20	ボルト	mino_19	ui/deco_preview/mino_19.png	
0	1	1	21	チェック	mino_20	ui/deco_preview/mino_20.png	
0	99	1	22	カエル	mino_21	ui/deco_preview/mino_21.png	
0	99	1	23	クリスマス	mino_22	ui/deco_preview/mino_22.png	
0	99	1	24	テトティ	mino_23	ui/deco_preview/mino_23.png	
0	1	1	25	スペード	mino_24	ui/deco_preview/mino_24.png	
0	1	1	26	ダイヤ	mino_25	ui/deco_preview/mino_25.png	
0	1	1	27	クラブ	mino_26	ui/deco_preview/mino_26.png	
0	11	1	28	シェイク	mino_27	ui/deco_preview/mino_27.png	
0	11	1	29	スノー	mino_28	ui/deco_preview/mino_28.png	
0	11	1	30	シンプル	mino_29	ui/deco_preview/mino_29.png	
0	99	1	31	2009 お正月	mino_30	ui/deco_preview/mino_30.png	
0	11	1	32	シンプル2	mino_31	ui/deco_preview/mino_31.png	
1	99	1	33	クマクー	mino_32	ui/deco_preview/mino_32.png	
2	99	1	34	うんつく	mino_33	ui/deco_preview/mino_33.png	
3	99	1	35	タイニータネ	mino_34	ui/deco_preview/mino_34.png	
4	99	1	36	でこねこ	mino_35	ui/deco_preview/mino_35.png	
5	99	1	37	テトティ	mino_36	ui/deco_preview/mino_36.png	
6	99	1	38	BE@RBRICK	mino_37	ui/deco_preview/mino_37.png	
7	99	1	39	BE@RBRICK	mino_38	ui/deco_preview/mino_38.png	
8	99	1	40	BE@RBRICK	mino_39	ui/deco_preview/mino_39.png	
9	99	1	41	BE@RBRICK	mino_40	ui/deco_preview/mino_40.png	
10	99	1	42	TETRIS 1989	mino_41	ui/deco_preview/mino_41.png	
11	99	1	43	BLACK	mino_42	ui/deco_preview/mino_42.png	
12	99	1	44	なつやすみ	mino_43	ui/deco_preview/mino_43.png	
13	99	1	45	TETOCUIT：C	mino_44	ui/deco_preview/mino_44.png	
14	99	1	46	TETOCUIT：M	mino_45	ui/deco_preview/mino_45.png	
0	0	2	1	標準設定	Default	ui/deco_preview/single_back_default.png	
