Guid	Name	ReqChannel	Comment	List
1	なし	1-5	マップを使用しません	DEFAULT
2	入門	1-5	入門者向けのマップです	INTRO1,INTRO2,INTRO3,INTRO4,INTRO5,INTRO6,INTRO7,INTRO8,INTRO9,INTRO10,INTRO11,INTRO12,INTRO13,INTRO14
3	初級	2-5	初級者向けのマップです	GOOD,MOUNTAIN,3X3,REDEYE,2009,ROOF,SPEEDO,MINIMINI,3F,HILL,FLOWERPOT,DUMBBELL,VALLEY,F,KO,TUNNEL,1:00,LADDER,15,FOUNTAIN,TWOTWO
4	中級	2-4	中級者向けのマップです	PU,HAMBURGER,OTL,GLASSES,V-MAP,RAINBOW,19,POLE,CLIFF,STATUE,RIGHT-LEFT,SEA,TT,SUNSET,SMILE,DOUGHNUT,DIVING,SIDE,CARS,STAIR,ARROW,DDAK,POTATO,HEART,SEI
5	上級	2-4	上級者向けのマップです	MAZE,HANABI,CAKE,POINT,X-MAP,SQUARE,WAVE,ORANGECROSS,VOLCANO,GAP,A+,CRAB,DIAMOND,HOME,ROBOT,SANDGLASS,SKULL,CHECK,CRUSH,DOTO,CHAIN,ROCKET,SS,GREENHOUSE,COUPLE,TTT,TOWER,HUNTER,5F,SPRINGTIME,T2T3,JSPIN,LSPIN,SSPIN,ZSPIN,ISPIN,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
6	ベスト	2-4	おすすめのマップです	ZIGZAG,CUTE,FASTCOMBO,FRANCE,CUPID,FOXSTAIR,EIFFEL
7	Ren-A	0	Ren-A	FASTCOMBO,HAWAII,3X12,1234,EIFFEL
8	Ren-B	0	Ren-B	TEAMCOMBO,SARS,BLUE,GREATWALL,S-COMBO
9	Ren-C	0	Ren-C	CLOSED,SARUMAN,LA,TETRIMINOS,HIGHER,MAXREN,ZIGREN
10	REN1	5	RENプレイ向けのマップです	EZREN1,EZREN2,EZREN3,EZREN4,EZREN5,EZREN6
11	REN2	0	RENプレイ向けのマップです	EZREN1,EZREN2,EZREN3,EZREN4,EZREN5,EZREN6,FASTCOMBO,HAWAII,3X12,1234,EIFFEL,TEAMCOMBO,SARS,BLUE,GREATWALL,S-COMBO
12	REN3	2-4	RENプレイ向けのマップです	EZREN1,EZREN2,EZREN3,EZREN4,EZREN5,EZREN6,FASTCOMBO,HAWAII,3X12,1234,EIFFEL,TEAMCOMBO,SARS,BLUE,GREATWALL,S-COMBO,CLOSED,SARUMAN,LA,TETRIMINOS,HIGHER,MAXREN,ZIGREN
13	T-SpinA	0	T-SpinA	TSPINSINGLE1,TSPINSINGLE2,TSPINDOUBLE1,TSPINDOUBLE2
14	T-SpinB	0	T-SpinB	TSPINTRIPLE1,TSPINTRIPLE2,B2BTSPINDOUBLE,B2BTSPINTETRIS,B2BTSPINTETRIS2
15	T-Spin1	0	T-Spinプレイ向けのマップです	TSPINSINGLE1,TSPINSINGLE2,TSPINDOUBLE1,TSPINDOUBLE2
16	T-Spin2	2-5	T-Spinプレイ向けのマップです	TSPINSINGLE1,TSPINSINGLE2,TSPINDOUBLE1,TSPINDOUBLE2,TSPINTRIPLE1,TSPINTRIPLE2,B2BTSPINDOUBLE,B2BTSPINTETRIS,B2BTSPINTETRIS2
17	CLASSIC	2-5	CLASSIC版TETRISに似せたマップです	ATARI1,ATARI2,ATARI3,ATARI4,ATARI5,ATARI6
18	TEST1	0	For COMBO Test	TEST20COMBO,TEST16COMBO
19	TEST2	0	For PC Test	PERFECTCLEAR
20	TEST3	0	For B2B Test	TESTB2BTSPIN2,TESTB2BTSPIN3,TESTB2BTSPIN1TETRIS,TESTB2BTSPIN2TETRIS
21	TEST4	0	TS-T........	TS-T
22	TETRIS	1,5	TETRISプレイ向けのマップです	TETRIS01,TETRIS02,TETRIS03,TETRIS04
